"artist_name","track_name","album_name","mode","duration_ms","danceability","valence","tempo","speechiness","liveness","acousticness","instrumentalness","songlength"
"The Beatles","I Saw Her Standing There - Remastered 2009","Please Please Me ",1,173946,0.491,0.971,160.109,0.0361,0.0665,0.27,0,"02:53"
"The Beatles","Mean Mr Mustard - Remastered 2009","Abbey Road ",1,66533,0.676,0.97,100.687,0.0272,0.351,0.0699,1.96e-05,"01:06"
"The Beatles","Ob-La-Di, Ob-La-Da - 2018 Mix","The Beatles",1,188813,0.803,0.969,113.193,0.0333,0.222,0.149,0.00471,"03:08"
"The Beatles","Roll Over Beethoven - Remastered 2009","With The Beatles ",1,165466,0.351,0.967,160.673,0.0628,0.0952,0.289,0,"02:45"
"The Beatles","And Your Bird Can Sing - Remastered 2009","Revolver ",1,120493,0.555,0.966,132.59,0.0282,0.236,0.0067,0.0491,"02:00"
"The Beatles","Devil In Her Heart - Remastered 2009","With The Beatles ",1,146213,0.618,0.966,121.072,0.0296,0.0438,0.227,0,"02:26"
"The Beatles","Rock And Roll Music - Remastered 2009","Beatles For Sale ",1,151280,0.457,0.965,167.092,0.0441,0.333,0.566,0,"02:31"
"The Beatles","Birthday - 2018 Mix","The Beatles",1,161986,0.587,0.964,139.374,0.0398,0.194,2.27e-05,0.165,"02:41"
"The Beatles","Polythene Pam - Esher Demo","The Beatles",1,86240,0.671,0.963,166.246,0.0679,0.069,0.372,2.48e-06,"01:26"
"The Beatles","Hold Me Tight - Remastered 2009","With The Beatles ",1,151906,0.54,0.963,135.731,0.0312,0.21,0.664,0,"02:31"
"The Beatles","Ob-La-Di, Ob-La-Da - Take 3","The Beatles",1,174186,0.765,0.962,121.962,0.0376,0.326,0.348,0,"02:54"
"The Beatles","Don't Pass Me By - 2018 Mix","The Beatles",1,230306,0.598,0.961,84.995,0.0262,0.248,0.472,1.07e-06,"03:50"
"The Beatles","Birthday - Take 2 / Instrumental Backing Track","The Beatles",0,160373,0.667,0.961,137.779,0.0933,0.323,1.33e-05,0.946,"02:40"
"The Beatles","You Can't Do That - Remastered 2009","A Hard Day's Night ",1,154893,0.612,0.961,129.161,0.0335,0.382,0.367,0,"02:34"
"The Beatles","Please Mister Postman - Remastered 2009","With The Beatles ",1,154160,0.552,0.961,122.546,0.0372,0.36,0.675,0,"02:34"
"The Beatles","Not A Second Time - Remastered 2009","With The Beatles ",1,126826,0.471,0.961,124.848,0.0372,0.498,0.213,0,"02:06"
"The Beatles","I'll Cry Instead - Remastered 2009","A Hard Day's Night ",1,105986,0.643,0.96,96.711,0.0347,0.253,0.0917,0,"01:45"
"The Beatles","For You Blue - Remastered 2009","Let It Be ",1,152213,0.88,0.955,128.542,0.0855,0.24,0.24,0.0483,"02:32"
"The Beatles","Hey Bulldog - Remastered 2009","Yellow Submarine ",1,191306,0.587,0.947,100.495,0.028,0.199,0.0197,0.639,"03:11"
"The Beatles","Act Naturally - Remastered 2009","Help! ",1,150373,0.702,0.944,93.02,0.0308,0.153,0.366,0,"02:30"
"The Beatles","Everybody's Trying To Be My Baby - Remastered 2009","Beatles For Sale ",1,146000,0.543,0.943,85.172,0.0385,0.134,0.466,0,"02:26"
"The Beatles","Back In The U.S.S.R. - Take 5 / Instrumental Backing Track","The Beatles",1,189666,0.668,0.937,127.771,0.0345,0.176,0.0266,0.372,"03:09"
"The Beatles","Twist And Shout - Remastered 2009","Please Please Me ",1,155226,0.482,0.937,124.631,0.0452,0.0414,0.641,7.74e-06,"02:35"
"The Beatles","Back In The U.S.S.R. - 2018 Mix","The Beatles",1,163466,0.51,0.934,142.657,0.0342,0.201,0.00102,5.85e-05,"02:43"
"The Beatles","Revolution - Unnumbered Rehearsal","The Beatles",1,136266,0.729,0.931,122.493,0.051,0.388,0.664,0.00346,"02:16"
"The Beatles","Two Of Us - Remastered 2009","Let It Be ",1,216813,0.726,0.931,109.114,0.032,0.239,0.0974,3.46e-05,"03:36"
"The Beatles","Good Morning Good Morning - Remastered 2009","Sgt. Pepper's Lonely Hearts Club Band ",1,161226,0.542,0.93,121.849,0.139,0.772,0.0858,0,"02:41"
"The Beatles","Chains - Remastered 2009","Please Please Me ",1,145080,0.654,0.929,129.884,0.0304,0.129,0.608,0,"02:25"
"The Beatles","There's A Place - Remastered 2009","Please Please Me ",1,110493,0.455,0.927,140.928,0.0292,0.172,0.629,4.22e-06,"01:50"
"The Beatles","Kansas City / Hey-Hey-Hey-Hey - Medley / Remastered 2009","Beatles For Sale ",1,158146,0.588,0.924,131.36,0.0335,0.877,0.614,8.92e-05,"02:38"
"The Beatles","Money (That's What I Want) - Remastered 2009","With The Beatles ",0,169506,0.545,0.923,128.816,0.0394,0.266,0.425,0,"02:49"
"The Beatles","Glass Onion - Take 10","The Beatles",0,132346,0.803,0.922,114.973,0.0608,0.0472,0.0862,0.514,"02:12"
"The Beatles","Dizzy Miss Lizzy - Remastered 2009","Help! ",1,176506,0.373,0.918,136.037,0.0591,0.0962,0.116,0.00445,"02:56"
"The Beatles","Don't Bother Me - Remastered 2009","With The Beatles ",1,148253,0.371,0.916,170.377,0.0562,0.299,0.554,0,"02:28"
"The Beatles","Los Paranoias - Studio Jam","The Beatles",1,238053,0.609,0.914,163.524,0.304,0.194,0.277,0.0175,"03:58"
"The Beatles","I've Just Seen A Face - Remastered 2009","Help! ",1,125040,0.647,0.913,120.418,0.0387,0.118,0.723,0,"02:05"
"The Beatles","Savoy Truffle - 2018 Mix","The Beatles",0,174440,0.63,0.912,120.922,0.0504,0.0792,0.00938,0.00962,"02:54"
"The Beatles","I Should Have Known Better - Remastered 2009","A Hard Day's Night ",1,163080,0.682,0.91,130.704,0.0289,0.115,0.257,0,"02:43"
"The Beatles","Lady Madonna - Take 2 / Piano & Drums","The Beatles",1,145400,0.539,0.906,109.299,0.0415,0.165,0.716,0.794,"02:25"
"The Beatles","I Will - 2018 Mix","The Beatles",1,105786,0.621,0.9,103.123,0.0251,0.0899,0.661,0.000294,"01:45"
"The Beatles","All My Loving - Remastered 2009","With The Beatles ",0,127853,0.416,0.9,77.56,0.0298,0.343,0.207,0,"02:07"
"The Beatles","You Like Me Too Much - Remastered 2009","Help! ",1,156866,0.555,0.899,88.316,0.0302,0.191,0.415,0,"02:36"
"The Beatles","Girl - Remastered 2009","Rubber Soul ",0,151720,0.699,0.893,96.615,0.0294,0.117,0.587,0,"02:31"
"The Beatles","Martha My Dear - Without Brass And Strings","The Beatles",1,149413,0.64,0.89,88.977,0.0512,0.162,0.98,0.935,"02:29"
